rating
7.2
5.8
8.0
7.5
7.5
7.6
8.0
7.3
3.4
7.9
7.4
5.9
8.0
8.5
6.6
6.0
5.5
7.4
8.0
8.0
6.8
4.2
7.8
5.8
5.6
6.0
6.9
7.9
7.7
9.2
7.5
8.2
4.7
7.6
9.0
6.1
8.0
9.4
7.5
5.0
7.8
6.4
7.8
7.5
6.1
7.9
7.6
2.9
5.2
6.8
8.5
4.2
7.8
7.3
7.7
6.8
3.0
6.1
3.8
7.2
4.5
6.3
8.1
6.2
4.9
7.7
5.5
4.1
7.1
5.2
8.6
7.0
7.5
5.4
6.3
5.5
6.3
6.7
5.4
7.8
6.8
6.4
6.8
6.9
7.2
4.0
4.3
6.5
8.8
6.7
7.8
6.9
6.3
6.6
6.6
6.9
5.0
6.5
7.0
5.7
